Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Reset_Charge_Capacity,Reset_Discharge_Capacity,Capacity_Difference,Cumulative_Cycle_Index
2010-11-23 12:25:25,30.00066057427965,1,1,0.0,3.6406617164611816,0.0,0.0,0.0,0.0,-3.237724376958795e-05,0.0,0.0,0.0,0.0,466
2010-11-23 12:25:55,60.01581087213853,1,1,0.0,3.640823602676392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466
2010-11-23 12:26:25,90.03117298371704,1,1,0.0,3.640823602676392,0.0,0.0,0.0,0.0,3.237724376958795e-05,0.0,0.0,0.0,0.0,466
2010-11-23 12:26:55,120.01495594387528,1,1,0.0,3.640823602676392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466
2010-11-23 12:27:26,30.014873381633382,2,1,0.5501165986061096,3.760618925094605,0.004586588536246,0.0,0.017172457125835,0.0,0.0007446765666827,0.0,0.004586588536246,0.0,0.004586588536246,466
2010-11-23 12:27:56,60.03019978908892,2,1,0.550297200679779,3.7823116779327393,0.009173286164423,0.0,0.0344755488952,0.0,0.0004209041653666,0.0,0.009173286164423,0.0,0.009173286164423,466
2010-11-23 12:28:26,90.04539925969053,2,1,0.5501165986061096,3.794938802719116,0.013759958828452,0.0,0.051856313534563,0.0,0.0002266406954731,0.0,0.013759958828452,0.0,0.013759958828452,466
2010-11-23 12:28:56,120.06084834336478,2,1,0.5501165986061096,3.801738023757935,0.018346645363169,0.0,0.069279910139789,0.0,9.713172767078504e-05,0.0,0.018346645363169,0.0,0.018346645363169,466
2010-11-23 12:29:26,150.0759284760807,2,1,0.550297200679779,3.806432723999024,0.022933318498109,0.0,0.086728360846352,0.0,0.0001295089750783,0.0,0.022933318498109,0.0,0.022933318498109,466
2010-11-23 12:29:56,180.0912018812343,2,1,0.5499359965324402,3.8099942207336426,0.027519998371638,0.0,0.104194942648067,0.0,0.0001295089750783,0.0,0.027519998371638,0.0,0.027519998371638,466
2010-11-23 12:30:26,210.1065015319008,2,1,0.5499359965324402,3.813231945037842,0.032106685625647,0.0,0.121677154811781,0.0,9.713172767078504e-05,0.0,0.032106685625647,0.0,0.032106685625647,466
2010-11-23 12:30:56,240.12173937829428,2,1,0.5501165986061096,3.816145896911621,0.036693332560859,0.0,0.139173989657528,0.0,6.47544875391759e-05,0.0,0.036693332560859,0.0,0.036693332560859,466
2010-11-23 12:31:26,270.1369822371998,2,1,0.5501165986061096,3.8192217350006095,0.041279932360883,0.0,0.156684472505454,0.0,9.713172767078504e-05,0.0,0.041279932360883,0.0,0.041279932360883,466
2010-11-23 12:31:56,300.15225761227066,2,1,0.5501165986061096,3.8221356868743896,0.045866542421782,0.0,0.174208410908595,0.0,9.713172767078504e-05,0.0,0.045866542421782,0.0,0.045866542421782,466
2010-11-23 12:32:26,330.16751459142245,2,1,0.5501165986061096,3.824887752532959,0.05045320321324,0.0,0.191745490333144,0.0,6.47544875391759e-05,0.0,0.05045320321324,0.0,0.05045320321324,466
2010-11-23 12:32:56,360.1829219208717,2,1,0.5501165986061096,3.827639818191528,0.055039845199465,0.0,0.209295277386148,0.0,9.713172767078504e-05,0.0,0.055039845199465,0.0,0.055039845199465,466
2010-11-23 12:33:26,390.1980380233738,2,1,0.5501165986061096,3.8303918838500977,0.05962642044698,0.0,0.226857272221859,0.0,9.713172767078504e-05,0.0,0.05962642044698,0.0,0.05962642044698,466
2010-11-23 12:33:56,420.21346754321365,2,1,0.550297200679779,3.832820177078247,0.064213098944969,0.0,0.244431933651975,0.0,3.237724376958795e-05,0.0,0.064213098944969,0.0,0.064213098944969,466
2010-11-23 12:34:26,450.2285673600642,2,1,0.5501165986061096,3.8357338905334473,0.068799697603268,0.0,0.262018260337559,0.0,9.713172767078504e-05,0.0,0.068799697603268,0.0,0.068799697603268,466
2010-11-23 12:34:56,480.2286961769957,2,1,0.5501165986061096,3.8381621837615967,0.073384024494666,0.0,0.279607839691265,0.0,6.47544875391759e-05,0.0,0.073384024494666,0.0,0.073384024494666,466
2010-11-23 12:35:26,510.24355666143566,2,1,0.550297200679779,3.840752363204956,0.07797056444237,0.0,0.297217885928431,0.0,6.47544875391759e-05,0.0,0.07797056444237,0.0,0.07797056444237,466
2010-11-23 12:35:56,540.2588030391246,2,1,0.5501165986061096,3.843504428863525,0.082557154928042,0.0,0.314840208143104,0.0,9.713172767078504e-05,0.0,0.082557154928042,0.0,0.082557154928042,466
2010-11-23 12:36:26,570.2740751259876,2,1,0.5499359965324402,3.846256494522095,0.087143742490186,0.0,0.332474825249586,0.0,9.713172767078504e-05,0.0,0.087143742490186,0.0,0.087143742490186,466
2010-11-23 12:36:56,600.2893090776593,2,1,0.5501165986061096,3.849008560180664,0.091730445812005,0.0,0.350122580810945,0.0,0.0001295089750783,0.0,0.091730445812005,0.0,0.091730445812005,466
2010-11-23 12:37:26,630.3046530138691,2,1,0.5501165986061096,3.8517606258392334,0.096317104249,0.0,0.367783150218466,0.0,6.47544875391759e-05,0.0,0.096317104249,0.0,0.096317104249,466
2010-11-23 12:37:56,660.3198903590114,2,1,0.5501165986061096,3.854836463928223,0.100903761986406,0.0,0.385456906513344,0.0,6.47544875391759e-05,0.0,0.100903761986406,0.0,0.100903761986406,466
2010-11-23 12:38:26,690.3350993283234,2,1,0.5499359965324402,3.857588529586792,0.105490353877309,0.0,0.403144009094187,0.0,9.713172767078504e-05,0.0,0.105490353877309,0.0,0.105490353877309,466
2010-11-23 12:38:56,720.3503791294423,2,1,0.5501165986061096,3.860826253890991,0.110076968325331,0.0,0.420844965547467,0.0,0.0001295089750783,0.0,0.110076968325331,0.0,0.110076968325331,466
